Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
iVideoSmart,https://www.crunchbase.com/organization/ivideosmart,"Advertising, Video","Singapore, Central Region, Singapore",Online Video Platform and Advertising Technology Company,8000000,USD,8000000,Private,,,Active,https://www.ivideosmart.com,11-50,4500000,USD,4500000,Series A,2,"Monk’s Hill Ventures, Eduardo Saverin, Kickstart Ventures, EE Capital"
Fastacash,https://www.crunchbase.com/organization/fastacash,"FinTech, Messaging, Payments","Singapore, Central Region, Singapore",Fastacash offers a payments platform that enables users to transfer value and digital content via social networks and messaging platforms.,23500000,USD,23500000,Private,,,Active,http://fastacash.com,11-50,15000000,USD,15000000,Series B,4,"Golden Equator Ventures, Jungle Ventures, Life.SREDA, Spring SEEDS Capital, Spring Singapore"
AirCarbon,https://www.crunchbase.com/organization/aircarbon,Financial Exchanges,"Singapore, Central Region, Singapore",A digital exchange focused on eliminating market friction in a carbon constrained economy.,750000,SGD,554341,Private,,,Active,https://AirCarbon.co,1-10,750000,SGD,554341,Seed,1,
Shiptek Solutions Corporation,https://www.crunchbase.com/organization/shiptek-solutions-corporation,"E-Commerce, Logistics, Marketplace, Shipping","Singapore, Central Region, Singapore",Creator of the shipping & logistics digital market-place called XLOG : an end-to-end solutions for exporters and importers across the globe.,20000000,USD,20000000,Private,,,Active,https://www.xlog.net,11-50,10000000,USD,10000000,Series B,2,
CarPal,https://www.crunchbase.com/organization/carpal,"Delivery, Enterprise Software, Logistics, SaaS, Software","Singapore, Central Region, Singapore",Re-imagining the future of logistics,4006897,USD,4006897,Private,,,Active,http://www.carpalfleet.com,11-50,1000000,SGD,743363,Series B,4,"RB Investments Pte. Ltd., HH Investments VC, Maarten Hemmes"
SHADO INTERNATIONAL GROUP,https://www.crunchbase.com/organization/shado-international-group,"Automotive, Autonomous Vehicles, Electric Vehicle, Transportation","Singapore, Central Region, Singapore",The Singapore- and India-based company that provides Electric Vehicle technology and charging infrastructure,4900000,USD,4900000,Private,,,Active,https://www.shadoev.com,11-50,1000000,USD,1000000,Seed,2,
Resync,https://www.crunchbase.com/organization/resync,"Analytics, Artificial Intelligence, Big Data, Energy, Energy Efficiency, Internet of Things, Machine Learning, Software, Sustainability","Singapore, Central Region, Singapore",Machine Learning and Data Analytics driven Intelligent Energy Management Platform for systems with distributed energy resources.,900000,USD,900000,Private,,,Active,https://www.resynctech.com/,1-10,700000,USD,700000,Seed,3,"Entrepreneur First, SGInnovate, Prasetia Dwidharma, August One"
Travecta Therapeutics,https://www.crunchbase.com/organization/travecta-therapeutics,Biotechnology,"Singapore, Central Region, Singapore",Travecta is an emerging biotech company.,15000000,USD,15000000,Private,,,Active,https://travectatherapeutics.com/,1-10,15000000,USD,15000000,Series A,1,TKS1
immunoSCAPE,https://www.crunchbase.com/organization/immunoscape,"Biotechnology, Life Science","Singapore, Central Region, Singapore",immunoSCAPE is a biotech company that provides immune-profiling services to companies and groups that are developing immunotherapies.,11000000,USD,11000000,Private,,,Active,https://immunoscape.com/,11-50,11000000,USD,11000000,Venture - Series Unknown,1,"Anzu Partners, UTEC- University of Tokyo Edge Capital, NPR Holdings"
FnO,https://www.crunchbase.com/organization/fno,"Financial Services, FinTech, Trading Platform","Singapore, Central Region, Singapore",FnO is a financial services company that specializes in the fields of financial services and financial exchanges.,2000000,USD,2000000,Private,,,Active,https://fno.co/,51-100,2000000,USD,2000000,Angel,2,Manu Midha
Mighty Bear Games,https://www.crunchbase.com/organization/mighty-bear-games,"Online Games, Sports, Video Games","Singapore, Central Region, Singapore",Mighty Bear is a Singapore-based studio building the next generation of massively multiplayer online mobile games.,3275000,USD,3275000,Private,,,Active,http://mightybeargames.com,11-50,2500000,USD,2500000,Seed,2,"Global Founders Capital, MaC Venture Capital, LVL1 Group, Everblue Management, Atlas Ventures"
Bhex.com,https://www.crunchbase.com/organization/bhex,Blockchain,"Singapore, Central Region, Singapore",BHEX is the next generation digital asset trading platform.,15000000,USD,15000000,Private,,,Active,https://www.bhex.com/,101-250,,,,Corporate Round,2,"OKCoin, Fundamental Labs, Plum Ventures, 8 Decimal Capital, Node Capital"
Knowledge Platform,https://www.crunchbase.com/organization/knowledge-platform,"E-Learning, Education, Training","Singapore, Central Region, Singapore",Knowledge Platform are provide holistic learning solutions.,2000000,USD,2000000,Private,,,Active,http://knowledgeplatform.com,51-100,2000000,USD,2000000,Series A,1,"Lakson Investments Venture Capital, Beaconhouse School System"
Houm Technology Singapore Pte. Ltd.,https://www.crunchbase.com/organization/houm-technology-singapore-pte-ltd,Internet,"Singapore, Central Region, Singapore",Empowering Users to become true Owners of the internet,3500000,USD,3500000,Private,,,Active,https://houm.me,11-50,3500000,USD,3500000,Series A,1,Bijai Jayarajan
Endomaster,https://www.crunchbase.com/organization/endomaster,"Health Care, Medical Device, Robotics","Singapore, Central Region, Singapore",EndoMaster is a medical device company that is developing a novel robotic-assisted surgical system.,20500000,SGD,14628395,Private,,,Active,http://www.endomastermedical.com/,11-50,20500000,SGD,14628395,Series B,1,
GuardRails,https://www.crunchbase.com/organization/guardrails,"Cyber Security, Developer Tools, Internet, Productivity Tools, Security","Singapore, Central Region, Singapore","GuardRails is a platform that empowers developers to find, fix, and prevent security vulnerabilities in their web and mobile applications.",1033729,USD,1033729,Private,,,Active,https://www.guardrails.io,1-10,1000000,SGD,733729,Seed,2,Cocoon Capital
Qualee Technology,https://www.crunchbase.com/organization/qualee-technology,"Human Resources, Information Technology, SaaS","Singapore, Central Region, Singapore","Qualee is a mobile-first SaaS solution, offering a leading cloud-based employee onboarding and engagement platform.",1000000,USD,1000000,Private,,,Active,https://www.qualee.com,11-50,1000000,USD,1000000,Seed,1,Tandem Technology Partners
BeeBryte,https://www.crunchbase.com/organization/beebryte,"Energy, Energy Efficiency, Energy Management, Real Estate, Renewable Energy, Software","Singapore, Central Region, Singapore",Predictive HVAC Control Software for Smarter Buildings & Factories,7370000,EUR,8441616,Private,,,Active,https://beebryte.com,11-50,3400000,EUR,3881721,Series B,3,
SixSense,https://www.crunchbase.com/organization/sixsense,"Artificial Intelligence, Industrial Automation","Singapore, Central Region, Singapore",SixSense is an AI-powered defect analytics platform for smart manufacturing.,1100000,USD,1100000,Private,,,Active,https://sixsense.ai/,1-10,1100000,USD,1100000,Seed,2,"Entrepreneur First, BEENEXT, SGInnovate, STRIVE"
Potato Play,https://www.crunchbase.com/organization/potato-play,"Casual Games, Gaming, Mobile, Online Games","Singapore, Central Region, Singapore",Potato Play is a Singapore-based publisher turning mobile games from Asia into worldwide hits.,2250000,USD,2250000,Private,,,Active,https://www.potatoplay.com,11-50,1750000,USD,1750000,Seed,2,"BEENEXT, Play Ventures, Atlas Ventures"
Wootag,https://www.crunchbase.com/organization/wootag,"Analytics, Internet, Software, Video","Singapore, Central Region, Singapore",Wootag –Video Interactive and Insights Platform,2700000,USD,2700000,Private,,,Active,https://wootag.com/,1-10,2700000,USD,2700000,Seed,2,"Wavemaker Partners, NEXEA Venture Capital & Angel Investors, Spring Singapore, Expara Thailand, Euco Investment"
Capital Match,https://www.crunchbase.com/organization/capital-match-2,"Consumer Lending, Financial Services, FinTech","Singapore, Central Region, Singapore",Capital Match is an online peer-to-peer lending marketplace for SMEs based in Singapore and Southeast Asia.,1000000,SGD,710392,Private,SESAMi,https://www.crunchbase.com/organization/sesami,Active,http://capital-match.com,1-10,,,,Series A,4,"B Capital Group, DTRIBE Capital, Crystal Horse Investments, Innosight Ventures, Vitulum Ventures"
Intelllex,https://www.crunchbase.com/organization/intelllex,"Information Technology, Legal, Legal Tech, Software","Singapore, Central Region, Singapore",Intelllex helps law firms unlock insights from their dormant data and discover what they really know.,2100000,USD,2100000,Private,,,Active,https://intelllex.com,11-50,2100000,USD,2100000,Venture - Series Unknown,1,"Insignia Ventures Partners, Thomson Reuters, K3 Ventures, Quest Ventures, Tan Kim Seng"
BetaSmartz,https://www.crunchbase.com/organization/betasmartz,"Asset Management, B2B, Big Data, Finance, Financial Services, FinTech, SaaS, Software, Wealth Management","Singapore, Central Region, Singapore","Digital investment platform offering investment, administrative and operational solutions to financial institutions",5000000,USD,5000000,Private,,,Active,http://www.betasmartz.com,1-10,5000000,USD,5000000,Series A,2,
BeMyGuest,https://www.crunchbase.com/organization/bemyguest,"Developer Platform, Internet, Leisure, Tourism, Travel","Singapore, Central Region, Singapore","BeMyGuest is a travel technology provider to the Asian attractions, tours and activities industry",3002000,USD,3002000,Private,,,Active,http://www.bemyguest.com.sg,51-100,,,,Series B,5,"K3 Ventures, Tidesquare, Meng Xiong Kuok, Boon Hwee Koh, Spring SEEDS Capital"
StaffAny,https://www.crunchbase.com/organization/staffany,"Computer, Human Resources, Information Technology, Retail, Scheduling, Software","Singapore, Central Region, Singapore","StaffAny is a computer software company that focuses on providing platform solutions for timesheets, payslips, and human resource.",1000000,SGD,721889,Private,,,Active,https://www.staffany.com/,1-10,,,,Grant,3,"FreakOut Holdings, Royston Tay, StartupX, Kenji Niwa, Yang Bin Kwok"
BiKi.com,https://www.crunchbase.com/organization/biki-com,"Blockchain, Cryptocurrency, Trading Platform","Singapore, Central Region, Singapore",BiKi.com is a provider of digital currency trading services.,5000000,USD,5000000,Private,,,Active,https://www.biki.com/,1-10,,,,Series A,2,"AlphaCoin Fund, Jun Du, Viking Capital"
Lanturn,https://www.crunchbase.com/organization/lanturn,Accounting,"Singapore, Central Region, Singapore",Lanturn provides one-stop online corporate services.,3000000,USD,3000000,Private,,,Active,https://www.golanturn.com/,11-50,3000000,USD,3000000,Seed,1,"East Ventures, CoCoon Ignite Ventures"
Duriana,https://www.crunchbase.com/organization/duriana,"E-Commerce, Marketplace, Mobile","Singapore, Central Region, Singapore",Duriana is a mobile marketplace that allows users to sell and buy products.,3300000,USD,3300000,Private,Carousell,https://www.crunchbase.com/organization/carousell,Closed,http://duriana.com,11-50,2500000,USD,2500000,Series A,2,"Alps Ventures, iBuy, econtext Asia and Beenos Asia"
Equis,https://www.crunchbase.com/organization/equis,"Infrastructure, Recycling, Renewable Energy, Waste Management","Singapore, Central Region, Singapore","Equis is renewable energy and waste infrastructure, developer.",100000000000,KRW,83806139,Private,,,Active,https://www.equis.com/,101-250,100000000000,KRW,83806139,Venture - Series Unknown,1,Hana Financial Investment
AnyMind Group,https://www.crunchbase.com/organization/adasia-holdings-pte-ltd,"Advertising, Advertising Platforms, E-Commerce, Human Resources, Manufacturing, Marketing, Marketing Automation, Media and Entertainment, Mobile Advertising","Singapore, Central Region, Singapore","AnyMind Group is a brand enablement platform with software for brand building, manufacturing and e-commerce, to marketing and logistics",62300000,USD,62300000,Private,,,Active,https://anymindgroup.com/,501-1000,26400000,USD,26400000,Series B,7,"Line Corporation, Gunosy, JAFCO Asia, Dream Incubator, Mirai Creation Fund"
NEXPLAY,https://www.crunchbase.com/organization/nexplay,"eSports, Gaming, Information Technology, Media and Entertainment","Singapore, Central Region, Singapore","NEXPLAY is the only, all-in-one, gaming entertainment and esports ecosystem built for the next generation gamers.",940000,USD,940000,Private,,,Active,https://nexplay.gg,11-50,610000,USD,610000,Seed,2,
701Search,https://www.crunchbase.com/organization/701search,"Internet, Online Portals","Singapore, Central Region, Singapore","A joint venture company - Singapore Press Holding, Schibsted Media, and Telenor; building leading classifieds site in Southe East Asia",180000000,EUR,244882966,Private,Carousell,https://www.crunchbase.com/organization/carousell,Active,https://www.701search.com,251-500,180000000,EUR,244882966,Undisclosed,1,Telenor
Cake DeFi,https://www.crunchbase.com/organization/cake-defi,Blockchain,"Singapore, Central Region, Singapore",Generate cashflow out of crypto assets by bringing decentralised finance to the people.,2400000,USD,2400000,Private,,,Active,https://cakedefi.com,11-50,2400000,USD,2400000,Seed,1,"Julian Hosp, Howard Fineman, U-Zyn Chua, John Rost"
Ion Mobility,https://www.crunchbase.com/organization/ion-mobility,Electric Vehicle,"Singapore, Central Region, Singapore",Ion Mobility is a tech-driven all-electric mobility company tackling a challenging and complex space.,3300000,USD,3300000,Private,,,Active,https://ionmobility.substack.com/,11-50,3300000,USD,3300000,Seed,1,"Monk’s Hill Ventures, Village Global, Seeds Capital, TNB AURA, 500 Durians"
Ark Bio,https://www.crunchbase.com/organization/ark-bio,"Biotechnology, Medical","Singapore, Central Region, Singapore",Ark Bio is a medical technology company,40000000,USD,40000000,Private,,,Active,http://ark.bio/,11-50,40000000,USD,40000000,Series A,1,"Gaorong Capital, Venturecraft Group"
Agrocorp International,https://www.crunchbase.com/organization/agrocorp-international,Consumer Goods,"Singapore, Central Region, Singapore",Agrocorp International is a global agri commodity trading house.,50000000,USD,50000000,Private,,,Active,http://www.agrocorp.com.sg,51-100,50000000,USD,50000000,Debt Financing,1,"FMO, Rabobank"
POSEIDON NETWORK,https://www.crunchbase.com/organization/poseidon-network,"Blockchain, Information Technology, Internet of Things","Singapore, Central Region, Singapore",Poseidon Network is a Decentralized P2P Network Built on IoT Edge Computing and Blockchain Technologies,1000000,USD,1000000,Private,,,Active,https://poseidon.network,11-50,,,,Angel,2,Aurelia Ventures
BlockPunk,https://www.crunchbase.com/organization/blockpunk,Media and Entertainment,"Singapore, Central Region, Singapore",BlockPunk is an entertainment startup that uses blockchain to give creators more control over their digital rights.,1375000,SGD,1015958,Private,,,Active,https://blockpunk.net/,1-10,1300000,SGD,961042,Seed,2,"Entrepreneur First, SeedPlus, Hustle Fund, SGInnovate, Dai Nippon Printing"
Nemesis,https://www.crunchbase.com/organization/nemesis,"Gaming, Mobile, Social","Singapore, Central Region, Singapore","Nemesis is a social, multi-game mobile gaming platform where you can compete synchronously against other players in real-time matches.",2900000,USD,2900000,Private,,,Active,http://welcome.nemesis.com,11-50,1300000,USD,1300000,Seed,2,"Wavemaker Partners, Xurpas"
Asia Healthcare Holdings(AHH),https://www.crunchbase.com/organization/asia-healthcare-holdings,"Financial Services, Health Care","Singapore, Central Region, Singapore",Asia Healthcare Holdings is an operating and investment platform founded by TPG Growth.,50000000,USD,50000000,Private,,,Active,,1-10,50000000,USD,50000000,Venture - Series Unknown,1,SHEARES HEALTH
GetDoc by Jireh Group,https://www.crunchbase.com/organization/getdoc-enterprise,"Health Care, Medical","Singapore, Central Region, Singapore",GetDoc | Leveraging Technology to Deliver a Better Healthcare Experience!,1600000,USD,1600000,Private,,,Active,https://www.getdoc.com/,11-50,1600000,USD,1600000,Seed,1,"Alan Wong, Janifer Yeo, Vivien Chou"
dDriven Solutions Pte Ltd,https://www.crunchbase.com/organization/ddriven-solutions-pte-ltd,"Analytics, Big Data, Internet of Things, Predictive Analytics, SaaS","Singapore, Central Region, Singapore","No-Code I4.0 (Industrie 4.0) data platform for leveraging IT, OT and IoT data at scale.",2500000,USD,2500000,Private,,,Active,http://www.ddriven.io,11-50,1500000,USD,1500000,Seed,2,"SAR GROUP, Ncubate Capital Partners"
SelfDrvn Enterprise Pte Ltd,https://www.crunchbase.com/organization/selfdrvn-enterprise-pte-ltd,"Analytics, Big Data, Gamification, Human Resources, SaaS","Singapore, Central Region, Singapore","SelfDrvn use social media, gamification and big data to help employees learn and collaborate in a fun manner.",2019239,USD,2019239,Private,,,Active,https://www.selfdrvn.com,11-50,2200000,SGD,1649239,Seed,2,Octava
HyalRoute Communication Group,https://www.crunchbase.com/organization/hyalroute,"Communications Infrastructure, Telecommunications, Wired Telecommunications","Singapore, Central Region, Singapore",HyalRoute provides shared communication fiber network and offers access to international connectivity capabilities and value-added services.,263000000,USD,263000000,Private,,,Active,http://www.hyalroute.com,501-1000,263000000,USD,263000000,Corporate Round,1,Kuang-Chi Science
TADA,https://www.crunchbase.com/organization/tada-a73f,"Car Sharing, Ride Sharing, Transportation","Singapore, Central Region, Singapore",TADA is a zero-commission ride-hailing app that provides safe and friendly service.,5000000,USD,5000000,Private,,,Active,http://www.tada.global,51-100,5000000,USD,5000000,Corporate Round,2,"Tribe Accelerator, Central"
FundedHere,https://www.crunchbase.com/organization/fundedhere,"Crowdfunding, Finance, FinTech, Lending","Singapore, Central Region, Singapore",FundedHere Discover the region's most exciting startups and be part of the entrepreneur's journey.,1290000,USD,1290000,Private,,,Active,http://fundedhere.com/,1-10,1290000,USD,1290000,Seed,1,"Ming Lei, Poh Kam Wong, Lim Soon Hock, Eddie Chau, Maneesh Tripathi"
RingMD,https://www.crunchbase.com/organization/ringmd,"Apps, Health Care, Medical","Singapore, Central Region, Singapore",RingMD is a healthcare network designed to connect patients with medical doctors and wellness practitioners independently of location.,625000,USD,625000,Private,,,Active,https://ring.md,51-100,125000,USD,125000,Seed,2,Y Combinator
Novocall,https://www.crunchbase.com/organization/novocall,"Human Resources, Information Technology, SaaS, Small and Medium Businesses, Software","Singapore, Central Region, Singapore",Novocall is a sales call automation platform that helps business converts web traffic into qualified sales calls.,500000,USD,500000,Private,,,Active,https://novocall.co,1-10,500000,USD,500000,Seed,1,"500 Startups, Expara IDM Ventures, Kee Siak Chan"
YuuZoo Corporation,https://www.crunchbase.com/organization/yuuzoo-corporation,"E-Commerce, Gaming, Mobile, Social Media","Singapore, Central Region, Singapore",Mobile and online technology platform,30000000,SGD,21026647,Delisted,,,Active,http://yuucorp.com,51-100,30000000,SGD,21026647,Post-IPO Equity,1,The Global Emerging Markets Group
CCRManager,https://www.crunchbase.com/organization/ccrmanager,"Finance, Financial Exchanges, Financial Services, FinTech","Singapore, Central Region, Singapore",CCRManager is a global digital platform for the secondary trading of trade finance obligations.,8613919,USD,8613919,Private,,,Active,https://www.ccrmanager.com/,11-50,3000000,SGD,2113919,Venture - Series Unknown,2,"Global eTrade Services (GeTS), Asia Capital & Advisors, Francis A. Rozario, Curzon Investment"
FlexM,https://www.crunchbase.com/organization/flexm-pte-ltd,"Financial Services, FinTech, Mobile Apps, Mobile Payments","Singapore, Central Region, Singapore",FlexM is a Fintech company offering digital financial solutions for the 21st century.,886000,SGD,626277,Private,,,Active,https://www.flexm.com,11-50,886000,SGD,626277,Seed,1,MatchMove Pay
Interviewer.AI,https://www.crunchbase.com/organization/interviewer-ai,"Artificial Intelligence, Human Resources, SaaS, Software","Singapore, Central Region, Singapore","Interviewer.AI is a Singapore-based, VC-backed audiovisual assessment platform.",925000,SGD,666432,Private,,,Active,https://interviewer.ai,11-50,850000,SGD,611922,Seed,2,"Entrepreneur First, SGInnovate, Prasetia Dwidharma, Accord Ventures, August One"
Teamie,https://www.crunchbase.com/organization/teamie,"Charter Schools, Collaboration, Education, Parenting, Social Media","Singapore, Central Region, Singapore","Teamie is a cloud-based social platform that drives collaboration, improves educator productivity and institution performance.",1487000,USD,1487000,Private,,,Active,http://www.theteamie.com,1-10,1100000,USD,1100000,Seed,2,"August One, Spring SEEDS Capital, Phystech Ventures"
Dapp.com,https://www.crunchbase.com/organization/dapp-com,"Blockchain, Social Network","Singapore, Central Region, Singapore",Where the blockchain comes alive,2700000,USD,2700000,Private,,,Active,https://www.dapp.com/,11-50,1000000,USD,1000000,Seed,3,"Hashed, FBG Capital, Du Capital"
Protenga,https://www.crunchbase.com/organization/protenga,"Agriculture, Aquaculture, Industrial Engineering, Nutrition","Singapore, Central Region, Singapore","Protenga is an agricultural technology company for producing insect-based nutrition of aquaculture, farmed animals, pets, plants and humans.",1600000,USD,1600000,Private,,,Active,https://protenga.com/,11-50,1600000,USD,1600000,Seed,1,"Seeds Capital, Glen Illing"
Sendhelper,https://www.crunchbase.com/organization/sendhelper,"Cooking, Housekeeping Service, Laundry and Dry-cleaning, Mobile Apps","Singapore, Central Region, Singapore",Sendhelper offers an application that enables its users to find and obtain a range of household services in Singapore.,593169,USD,593169,Private,,,Active,http://www.sendhelper.com/,1-10,150000,USD,150000,Seed,3,"Iterative, muru-D, Captii Ventures, RCL Accelerator"
Oneberry,https://www.crunchbase.com/organization/oneberry,Security,"Singapore, Central Region, Singapore",Oneberry Technologies is a leader in remote surveillance solutions in Singapore.,22000000,USD,22000000,Private,,,Active,https://www.oneberry.com/,51-100,22000000,USD,22000000,Series A,1,"CMIA Capital Partners, Bintang Capital Partners"
8Trip,https://www.crunchbase.com/organization/8trip,"Adventure Travel, B2B, Business Intelligence, E-Commerce, Tourism, Travel","Singapore, Central Region, Singapore",8Trip is a China-based online travel service offering a platform that connects travel agencies with service providers.,144282713,USD,144282713,Private,,,Active,http://8trip.cn,101-250,600000000,CNY,95129375,Series C,3,"Ant Group, Tempus, SBCVC, CCB International, Vision Knight Capital"
Adgo,https://www.crunchbase.com/organization/adgo-50e1,"Artificial Intelligence, Information Technology, Machine Learning, Software","Singapore, Central Region, Singapore","Adgo leverages AI in driving business growth by providing solutions in the fields of AI, software, and information technology.",7626706,USD,7626706,Private,,,Active,https://adgo.io/,11-50,7626706,USD,7626706,Venture - Series Unknown,1,
ServiceQUIK (ZING),https://www.crunchbase.com/organization/servicequik,"E-Commerce, Enterprise Resource Planning (ERP), Enterprise Software, SaaS, Small and Medium Businesses, Software","Singapore, Central Region, Singapore",All-in-one cloud-based commerce platform - the Everyday Hero for small business owners.,1516000,USD,1516000,Private,,,Active,https://www.zing.work,11-50,,,,Seed,4,
Glance Tech,https://www.crunchbase.com/organization/glance-clock,"Artificial Intelligence, Hardware, Internet of Things, Software","Singapore, Central Region, Singapore",Glance Tech develop consumer devices with a glanceable interface that are connected to our AI-powered cloud platform.,969300,USD,969300,Private,,,Closed,http://glanceclock.com,1-10,460000,USD,460000,Product Crowdfunding,4,"Ruvento, Enchant, HaxAsia"
Easybook,https://www.crunchbase.com/organization/easybook,"E-Commerce, Internet, Ticketing, Travel","Singapore, Central Region, Singapore","LARGEST Bus, Train, Car, Tour & Ferry Ticket Booking.",3000000,USD,3000000,Private,,,Active,http://www.easybook.com/,11-50,3000000,USD,3000000,Series A,1,
Digital Commerce Intelligence,https://www.crunchbase.com/organization/digital-commerce-intelligence,"Analytics, Artificial Intelligence, Big Data, Data Mining, E-Commerce, Predictive Analytics","Singapore, Central Region, Singapore",Digital Commerce Intelligence is a AI-powered online market share data & competitive intelligence for Brands in Southeast Asia.,1100000,SGD,774390,Private,,,Active,https://dci.ai,11-50,1000000,SGD,701498,Seed,2,Velocity Partners
Yoma Strategic Holdings,https://www.crunchbase.com/organization/yoma-strategic-holdings,"Agriculture, Automotive, Consumer, Real Estate, Tourism","Singapore, Central Region, Singapore",Readying itself for a very exciting future. ,215343694,USD,215343694,Public,,,Active,http://www.yomastrategic.com,1001-5000,155000000,USD,155000000,Post-IPO Equity,2,Ayala Corporation
FoodRazor,https://www.crunchbase.com/organization/foodrazor,"Enterprise Software, Food and Beverage, Internet, SaaS, Software","Singapore, Central Region, Singapore",FoodRazor is a software platform that helps food and beverage businesses to streamline their back-end operations.,918625,USD,918625,Private,,,Active,https://foodrazor.com/,1-10,900000,USD,900000,Seed,2,"Found.Ventures, Cocoon Capital, DBS HotSpot"
MetroResidences,https://www.crunchbase.com/organization/metroresidences,"Hospitality, Hotel, Rental Property, Travel Accommodations, Vacation Rental","Singapore, Central Region, Singapore",MetroResidences is a digital apartment rental service providing a fuss-free and transparent way to lease a home.,3518696,USD,3518696,Private,,,Active,https://metroresidences.com,11-50,2800000,USD,2800000,Series A,3,"500 Startups, Rakuten, Ashok Melwani, Lim Der Shing, Linus Lim"
InterOil Corporation,https://www.crunchbase.com/organization/interoil-corporation,"Energy, Oil and Gas","Singapore, Central Region, Singapore","InterOil has grown to become a significant regional energy company and, as important, a trusted partner to communities & business",470000000,USD,470000000,Delisted,ExxonMobil,https://www.crunchbase.com/organization/exxonmobil,Active,http://www.interoil.com/,1001-5000,470000000,USD,470000000,Post-IPO Debt,1,
AlgoMerchant,https://www.crunchbase.com/organization/algomerchant,"Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning, Mobile Apps","Singapore, Central Region, Singapore",AlgoMerchant is a Singapore-based FinTech company who provides fully AI-driven solution for stock traders & portfolio managers,3300000,USD,3300000,Private,,,Active,https://www.algomerchant.com/,11-50,2000000,USD,2000000,Venture - Series Unknown,2,East Ventures
ESR-Reit,https://www.crunchbase.com/organization/esr-reit,Real Estate,"Singapore, Central Region, Singapore",ESR-REIT is committed to providing its Unitholders with a stable and secure income stream,155000000,SGD,114227600,Private,,,Active,https://www.esr-reit.com.sg/,51-100,155000000,SGD,114227600,Debt Financing,1,
Toast,https://www.crunchbase.com/organization/toast-4,"Apps, Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments","Singapore, Central Region, Singapore",Toast helps users to send money and make international payment through its app.,2365899,USD,2365899,Private,,,Active,https://toastme.com/,1-10,1500000,USD,1500000,Seed,3,"Startupbootcamp, 1776 Ventures, ACE & Company, 1/0 Capital, Pepper Group"
Credit Culture,https://www.crunchbase.com/organization/credit-culture,"Credit, Financial Services, FinTech","Singapore, Central Region, Singapore",Credit Culture is a Singapore-based fintech startup.,40000000,SGD,29403159,Private,,,Active,https://www.creditculture.sg/,11-50,40000000,SGD,29403159,Venture - Series Unknown,1,RCE Capital Berhad
V3 Group,https://www.crunchbase.com/organization/v3-group,Lifestyle,"Singapore, Central Region, Singapore","V3 Group is a leading Asian luxury group that creates, develops, and owns brands in the lifestyle and wellness markets.",366000000,SGD,268063919,Private,,,Active,http://www.v3group.com,11-50,366000000,SGD,268063919,Private Equity,1,Kohlberg Kravis Roberts
Sesto Robotics,https://www.crunchbase.com/organization/sesto-robotics,Hospital,"Singapore, Central Region, Singapore","SESTO Robotics, an autonomous technology solutions startup.",4000000,USD,4000000,Private,,,Active,https://www.sestorobotics.com/,11-50,4000000,USD,4000000,Series A,1,"Heliconia Capital Management, Singtel Innov8"
TraMes,https://www.crunchbase.com/organization/trames,"Information Technology, Logistics, Shipping, Software","Singapore, Central Region, Singapore",Cross boarder transportation orchestration managed service,1000000,SGD,736225,Private,,,Active,https://trames.sg/,11-50,,,,Venture - Series Unknown,2,Tribe Accelerator
Viddsee,https://www.crunchbase.com/organization/viddsee,"Digital Media, Mobile Devices, Video Streaming","Singapore, Central Region, Singapore",Daily Dose of Awesome Asian Short Films!,2340000,USD,2340000,Private,,,Active,http://www.viddsee.com,11-50,2300000,USD,2300000,Series A,2,"CyberAgent Capital, ACE Singapore"
Avanseus,https://www.crunchbase.com/organization/avanseus-holdings-pte-limited,"Artificial Intelligence, Enterprise Software","Singapore, Central Region, Singapore",Innovative start up using AI for Enterprise Applications. Current focus is Predictive Maintenance for Telecommunications and IOT.,3589323,USD,3589323,Private,,,Active,http://www.avanseus.com/,11-50,1500000,SGD,1089323,Convertible Note,2,"TNB AURA, Bangsawan, Angel Investors/HNIs, FEBO Limited Partnership, Apollo Consulting SRL"
Jio Technologies Limited,https://www.crunchbase.com/organization/jio-technologies-limited,"App Marketing, Information Services, Location Based Services, Loyalty Programs, Mobile Advertising, Mobile Apps, Mobile Payments, Social Media, Social Network","Singapore, Central Region, Singapore","Jio Technologies Limited is a digital mobile agency which manages social mobile application ""JiojioMe"" that connects people via interest.",4644562,USD,4644562,Private,,,Active,http://www.jiojio.me,51-100,4000000,USD,4000000,Initial Coin Offering,3,"Alphacap Berhad, Mr. Lester Tan, Seristine Venture Private Limited"
FintruX Network,https://www.crunchbase.com/organization/fintrux,"B2B, Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",Smart Business and Financial Solutions Built On The Blockchain.,25000000,USD,25000000,Private,,,Active,https://www.fintrux.com/,11-50,25000000,USD,25000000,Initial Coin Offering,1,
